0,1
5,747998
6,621254
9,742270
13,667660
15,659028
19,679090
32,561857
36,577929
40,583420
41,619162
42,667150
43,702509
46,550675
47,701908
48,676189
50,663652
57,573681
63,711686
64,576934
68,741035
70,745484
72,704766
73,561784
76,581730
81,622559
83,665881
84,686127
85,727737
86,563940
87,693830
88,564770
90,680080
92,741884
96,555857
97,713399
98,622444
100,699236
102,676493
105,717122
107,625911
114,585328
115,725658
123,727713
126,732143
129,743949
130,713431
139,710065
141,738155
146,736909
150,700310
152,639358
153,746383
155,687636
158,580817
159,592012
160,712881
162,723570
169,585901
174,654900
175,616262
176,714373
177,619301
179,652513
181,643258
189,745734
194,620057
198,700422
201,611090
203,672988
206,695017
207,617653
211,696867
213,574440
214,607336
217,729334
221,743915
222,587549
223,640640
226,610601
227,730733
229,745054
233,749602
242,630467
246,551307
247,706639
